,date,post_count_anger,post_count_disgust,post_count_fear,post_count_joy,post_count_neutral,post_count_sadness,post_count_surprise,score_anger,score_disgust,score_fear,score_joy,score_neutral,score_sadness,score_surprise,close
57,2022-03-25,130.0,2.0,409.0,2335.0,865.0,352.0,531.0,4153.0,2.0,1388.0,15922.0,3688.0,8162.0,4825.0,164.7734985
58,2022-03-28,106.0,5.0,315.0,2038.0,719.0,314.0,472.0,8920.0,8.0,1253.0,4826.0,3350.0,2246.0,2264.0,168.9904938
59,2022-03-29,106.0,1.0,371.0,2312.0,820.0,404.0,533.0,615.0,3.0,12699.0,5357.0,2948.0,3616.0,2595.0,169.3150024
60,2022-03-30,122.0,1.0,457.0,2728.0,869.0,392.0,520.0,1046.0,1.0,2040.0,8429.0,3375.0,2274.0,3782.0,166.3009949
61,2022-03-31,114.0,3.0,400.0,1955.0,682.0,401.0,469.0,1825.0,24.0,2845.0,4876.0,3133.0,2087.0,2375.0,162.9974976
62,2022-04-01,94.0,3.0,281.0,1610.0,714.0,307.0,414.0,1282.0,3.0,716.0,5616.0,2751.0,19565.0,3332.0,163.5599976
63,2022-04-04,86.0,1.0,205.0,1020.0,670.0,293.0,398.0,1198.0,8.0,24521.0,4302.0,2649.0,2391.0,3385.0,168.3464966
64,2022-04-05,62.0,4.0,96.0,287.0,494.0,209.0,295.0,1163.0,6.0,9251.0,6558.0,2665.0,7083.0,3545.0,164.0549927
65,2022-04-06,60.0,1.0,102.0,320.0,483.0,151.0,290.0,1934.0,1.0,1093.0,2515.0,2271.0,1091.0,10568.0,158.7559967
66,2022-04-07,69.0,3.0,79.0,333.0,468.0,200.0,284.0,1450.0,119.0,674.0,3279.0,3970.0,8027.0,3083.0,157.7845001
67,2022-04-08,54.0,1.0,75.0,252.0,447.0,179.0,264.0,8945.0,58.0,1135.0,3381.0,2879.0,2864.0,1935.0,154.460495
68,2022-04-11,75.0,0.0,112.0,312.0,454.0,176.0,277.0,2061.0,0.0,3463.0,3589.0,3598.0,4480.0,3851.0,151.121994
69,2022-04-12,49.0,1.0,95.0,306.0,487.0,200.0,330.0,1206.0,1.0,833.0,2516.0,2294.0,1982.0,1805.0,150.7875061
70,2022-04-13,49.0,1.0,85.0,280.0,426.0,183.0,277.0,1594.0,7.0,1914.0,1978.0,2322.0,2044.0,6223.0,155.5410004
71,2022-04-14,47.0,3.0,81.0,286.0,446.0,180.0,280.0,1690.0,44.0,7109.0,4961.0,3455.0,1423.0,2967.0,151.7064972
72,2022-04-18,57.0,4.0,119.0,296.0,459.0,210.0,297.0,2729.0,4.0,2191.0,4841.0,3489.0,2308.0,1948.0,152.7850037
73,2022-04-19,53.0,2.0,83.0,292.0,452.0,182.0,312.0,605.0,6.0,1660.0,2312.0,2766.0,2142.0,1998.0,158.1154938
74,2022-04-20,64.0,3.0,99.0,305.0,486.0,187.0,312.0,1553.0,44.0,1580.0,3901.0,3378.0,4651.0,3259.0,153.9980011
75,2022-04-21,70.0,1.0,94.0,303.0,428.0,162.0,303.0,5292.0,0.0,3231.0,3827.0,2527.0,1598.0,3618.0,148.2960052
76,2022-04-22,88.0,2.0,88.0,272.0,365.0,187.0,296.0,691.0,2.0,780.0,9231.0,2496.0,2178.0,3096.0,144.3500061
77,2022-04-25,71.0,2.0,98.0,309.0,537.0,201.0,327.0,1050.0,42.0,7254.0,4610.0,3764.0,2370.0,4525.0,146.0740051
78,2022-04-26,100.0,0.0,97.0,279.0,442.0,195.0,319.0,9507.0,0.0,2071.0,3744.0,2727.0,3054.0,6500.0,139.3910065
79,2022-04-27,98.0,1.0,84.0,307.0,470.0,189.0,323.0,1684.0,1.0,1881.0,3475.0,2716.0,1815.0,6305.0,138.1670074
80,2022-04-28,67.0,3.0,83.0,267.0,423.0,200.0,255.0,1496.0,7.0,5797.0,3070.0,3038.0,2747.0,7708.0,144.5964966
81,2022-04-29,79.0,3.0,100.0,269.0,322.0,186.0,277.0,1805.0,108.0,3459.0,3854.0,3541.0,8131.0,3584.0,124.2815018
82,2022-05-02,58.0,1.0,97.0,301.0,394.0,223.0,317.0,17323.0,10.0,1347.0,36777.0,2461.0,4706.0,1861.0,124.5
83,2022-05-03,52.0,1.0,91.0,296.0,315.0,196.0,288.0,1695.0,1.0,1095.0,3437.0,1945.0,4442.0,14434.0,124.2535019
84,2022-05-04,54.0,6.0,89.0,304.0,378.0,171.0,298.0,1251.0,929.0,4321.0,2108.0,2716.0,1279.0,15382.0,125.9284973
85,2022-05-05,56.0,1.0,96.0,281.0,341.0,173.0,249.0,1028.0,51.0,1185.0,4542.0,2525.0,1950.0,5396.0,116.4069977
86,2022-05-06,64.0,1.0,95.0,269.0,335.0,172.0,306.0,1565.0,1.0,1100.0,2697.0,1297.0,1526.0,2411.0,114.7724991
87,2022-05-09,60.0,2.0,107.0,286.0,393.0,218.0,317.0,594.0,5.0,10518.0,3327.0,1795.0,6192.0,2121.0,108.7890015
88,2022-05-10,44.0,3.0,121.0,296.0,391.0,177.0,319.0,2329.0,79.0,1355.0,2512.0,1741.0,3032.0,1510.0,108.8590012
89,2022-05-11,62.0,1.0,90.0,269.0,427.0,201.0,305.0,8182.0,3.0,2398.0,4554.0,2032.0,1397.0,2508.0,105.3720016
90,2022-05-12,63.0,0.0,99.0,245.0,403.0,185.0,307.0,6551.0,0.0,2090.0,25803.0,2889.0,1318.0,1973.0,106.9304962
91,2022-05-13,62.0,0.0,113.0,268.0,357.0,191.0,307.0,1759.0,0.0,4465.0,1993.0,1683.0,2052.0,3194.0,113.0550003
92,2022-05-16,51.0,2.0,86.0,348.0,453.0,196.0,337.0,670.0,4.0,4681.0,3846.0,5994.0,2428.0,2697.0,110.8105011
